code;title;direction;stage;stage_label;role;action;product;methodology;kpi
1.1;Планирование;Производство;1;1 этап;"Отдел продаж, коммерции";Формирование плана продаж на год в 1С;Утвержденный план продаж на год;Долгосрочные договоры Аналика рынка Прогнозный спрос;
1.1;Планирование;Производство;2;2 этап;Инженер по планированию и ПП;Формирование плана производства на год в 1С;Утвержденный план производства на год;План продаж Фонд рабочего времени Складской остаток ГП Минимальный остаток ГП;
1.1;Планирование;Производство;3;3 этап;Разработчик R&D;Разработка/Утверждение рецепта в 1С;Утвержденный рецепт в 1С;ОЛИ ОПИ ОПП;
1.1;Планирование;Производство;4;4 этап;Инженер по планированию и ПП;Заявка на сырье по утвержденной рецептуре;"Заявка на сырье, по утвержденной рецептуре.";"Заявки формируются исходя и складских остатков, учитывая минимальный неснижаемый остаток сырья, плечо поставки";
1.1;Планирование;Производство;5;5 этап;Отдел снабжения;Закуп доставка сырья;"Закуп, доставка сырья согласно заявкам";Заявка производства Требования к сырью Сроки поставок;
1.1;Планирование;Производство;6;6 этап;"Отдел продаж, коммерции";Уточнение плана продаж на 1 месяц в 1С;"Уточненный план продаж на месяц, до 20 чсила каждого месяца";Пул заказов Долгосрочные договоры;
1.1;Планирование;Производство;7;7 этап;Инженер по планированию и ПП;Уточнение плана производства на 1 месяц в 1С;Уточненный план производства на мессяц исходя из уточненного плана продаж;Фонд рабочего времени Фонд рабочего времени Складской остаток ГП Минимальный остаток ГП;
1.1;Планирование;Производство;8;8 этап;Начальник производства;Составление сменно-суточного задания;Сформированное сменно-суточное задание в 1С;Заполняется утверджденная форма;
1.1;Планирование;Производство;9;9 этап;Разработчик R&D;Разработка утверждение маршрутной карты;Утвержденные маршрутные карты;Технология производства;
1.1;Планирование;Производство;10;10 этап;Мастер Производство;"получение ССЗ, Подготовка маршрутных карт для производства";Маршрутная карта;Заполняется утвержденная форма;
1.1;Планирование;Производство;11;11 этап;Инженер по планированию и ПП;Формирование заказа переработчику в 1С;Создание заказа переработчика в 1С;форма в 1С Рецепт продукта;
1.1;Планирование;Производство;12;12 этап;Мастер Производство;Заказ на буфер производства сырья и тары;Заказ на перемещение в буфер производства.;форма в 1С Рецепт продукта;
1.1;Планирование;Производство;13;13 этап;Склад кладовщик;Сборка и передача сырья и тары согласно заказа в буфер производства;Сборка и передача сырья и по накладной ТОРГ 13;форма в 1С;
1.1;Планирование;Производство;14;14 этап;Мастер Производство;"Прием сырья и тары,производство, контроль ОТК, Слив ГП, списание ТМЦ, передача ГП на склад ГП";Заполненная оператором ДПУ маршрутная карта в соответствии с выполненными операциями;форма маршрутной карты технология производства;
1.1;Планирование;Производство;15;15 этап;Начальник производства;План-факт анализ выполнения ССЗ;Анализ план-факт ССЗ;План-фактный анализ;
1.1;Планирование;Производство;16;16 этап;Инженер по планированию и ПП;План-факт анализ ежемесячного плана производства;Анализ план-факт плана производства;План-фактный анализ;
1.2;Исполнение;Производство;1;1 этап;Инженер по планированию и ПП;"Формирование плана производства на сутки, неделю и месяц в 1С с учетом внеплановых заявок";Утвержденный план производства на месяц в 1С;на основании плана продаж учитывается складской остаток ГП минимальный остаток;
1.2;Исполнение;Производство;2;2 этап;Начальник производства;Формирование сменно- суточного задания в 1С;Сформированное сменно-суточное задание в 1С;Инструкция по заполнени формы в 1С Нормы расхода сырья;
1.2;Исполнение;Производство;3;3 этап;Инженер по планированию и ПП;Формирование заказа переработчика на сырьё и тару в 1С;Сформированные маршрутные карты на производство в 1С Сформированый заказ переработчика на сырьё и тару в 1С;Инструкция по заполнени формы в 1С Нормы расхода сырья;
1.2;Исполнение;Производство;3;3 этап;Технолог;Формирование маршрутных карт на производство в 1С в соответствии со сменно-суточным заданием на каждую партию продукта;Сформированные маршрутные карты на производство в 1С Сформированый заказ переработчика на сырьё и тару в 1С;Инструкция по заполнени формы в 1С Нормы расхода сырья;
1.2;Исполнение;Производство;4;4 этап;Мастер ПУ;Передача мастеру ПУ сменно-суточного задания и маршрутных карт на производство в бумажном и электронном виде;Переданные мастеру ПУ в бумажном виде сменно-суточное задание и маршрутные карты на производство;Рабочий стандарт;
1.2;Исполнение;Производство;5;5 этап;Кладовщик;Выдача сырья прошедшего входной контроль (тары);"Стандарт ""Приемка и учет сырья, материалов на складе. Хранение и выдача сырья, материалов на производство"" Стандарт ""Входной контроль""";Рабочий стандарт;
1.2;Исполнение;Производство;5;5 этап;Лаборант ЛКК;Проведение анализов поступившего сырья (производится при получении партии сырья);"Стандарт ""Приемка и учет сырья, материалов на складе. Хранение и выдача сырья, материалов на производство"" Стандарт ""Входной контроль""";Рабочий стандарт;
1.2;Исполнение;Производство;5;5 этап;Контролер ОКК;Входной контороль поступившего сырья (производится при получении партии сырья);"Стандарт ""Приемка и учет сырья, материалов на складе. Хранение и выдача сырья, материалов на производство"" Стандарт ""Входной контроль""";Рабочий стандарт;
1.2;Исполнение;Производство;6;6 этап;Кладовщик-комплектовщик;"Подготовка и выдача сырья и тары в производство с соблюдением ""ФИФО""";Подготовленное для передачи в производство сырьё и тара;Рабочий стандарт Инструкция по заполнени формы в 1С Нормы расхода сырья;
1.2;Исполнение;Производство;7;7 этап;Начальник производства;Проверка оборудования на соответствие требованиям ОТ;Подписанная накладная М-15 кладовщиком и мастером ПУ;Рабочий стандарт Инструкция по заполнени формы м-15 в 1С Нормы расхода сырья;
1.2;Исполнение;Производство;7;7 этап;Технолог;Сверка партии и массы;Подписанная накладная М-15 кладовщиком и мастером ПУ;Рабочий стандарт Инструкция по заполнени формы м-15 в 1С Нормы расхода сырья;
1.2;Исполнение;Производство;7;7 этап;Мастер ПУ;Получение сырья для производства по накладной М-15;Подписанная накладная М-15 кладовщиком и мастером ПУ;Рабочий стандарт Инструкция по заполнени формы м-15 в 1С Нормы расхода сырья;
1.2;Исполнение;Производство;7;7 этап;Контролер ОКК;Проверка качества партии;Подписанная накладная М-15 кладовщиком и мастером ПУ;Рабочий стандарт Инструкция по заполнени формы м-15 в 1С Нормы расхода сырья;
1.2;Исполнение;Производство;8;8 этап;Технолог;Контроль соблюдения технологии производства от загрузки сырья до слива готового продукта с внесением необходимых корректировок в маршрутную карту;Заполненная оператором ДПУ маршрутная карта в соответствии с выполненными операциями;Маршрутная карта Рецепт продукта (утвержденный) Рабочий стандарт;
1.2;Исполнение;Производство;8;8 этап;Оператор ДПУ;Загрузка сырья в технически исправное оборудование и производство продукта в соответствии с маршрутной картой;Заполненная оператором ДПУ маршрутная карта в соответствии с выполненными операциями;Маршрутная карта Рецепт продукта (утвержденный) Рабочий стандарт;
1.2;Исполнение;Производство;9;9 этап;;;Отобранная промежуточная проба и заполненное направление в лабораторию;ГОСТ Рабочий стандарт Формы для заполнения;
1.2;Исполнение;Производство;10;10 этап;Лаборант ЛКК;Проведение испытаний. При несоответствии продукта ТУ протокол выдаётся технологу.;Заполненный протокол на анализируемую пробу прикрепленный к маршрутной карте;ТУ ГОСТ Методики анализов;
1.2;Исполнение;Производство;11;11 этап;Оператор ДПУ;Продолжение и завершение производства продукта соответствии с маршрутной картой. Отбор пробы готового продукта и заполнение направления на анализ в ЛКК.;Заполненная оператором ДПУ маршрутная карта Отобранная проба готового продукта и заполненное направление на анализ в ЛКК;Маршрутная карта Рецепт продукта Рабочий стандарт;
1.2;Исполнение;Производство;12;12 этап;Лаборант ЛКК;Проведение испытаний. При несоответствии продукта ТУ протокол выдаётся технологу.;Заполненный протокол на анализируемую пробу прикрепленный к маршрутной карте;ТУ ГОСТ Методики анализов;
1.2;Исполнение;Производство;13;13 этап;Оператор ДПУ;"Слив (расфасовка) готового продукта, отбор арбитражной пробы.";"Слитый (расфасованный) продукт в тару, отобранная арбитражная проба.";Маршрутная карта Рабочий стандарт ГОСТ;
1.2;Исполнение;Производство;13;13 этап;Контролер ОКК;Присутствие при отборе арбитражной пробы.;"Слитый (расфасованный) продукт в тару, отобранная арбитражная проба.";Маршрутная карта Рабочий стандарт ГОСТ;
1.2;Исполнение;Производство;14;14 этап;Мастер ПУ;"Формирование документа ""Поступление от переработчика"" на готовую продукцию в 1С";"Сформированный документ ""Поступление от переработчика"" в 1С на готовую продукцию";Маршрутная карта Рабочий стандарт Инструкция по заполнению документов в 1С;
1.2;Исполнение;Производство;15;15 этап;Лаборант ЛКК;"Проверка сдаваемой готовой продукции (наименование, количество, вес).Формирование заказа на перемещение готовой продукции в 1С.";"Маркированная готовая продукция, сформированный заказ на перемещение в 1С.";Стандарт упаковки Маршрутная карта Рабочий стандарт Инструкция по заполнению документов в 1С;
1.2;Исполнение;Производство;15;15 этап;Контролер ОКК;"Проверка сдаваемой готовой продукции (наименование, количество, вес). Маркировка бирками зелёного цвета.";"Маркированная готовая продукция, сформированный заказ на перемещение в 1С.";Стандарт упаковки Маршрутная карта Рабочий стандарт Инструкция по заполнению документов в 1С;
1.2;Исполнение;Производство;16;16 этап;Мастер ПУ;"Выполнение операции по перемещению готовой продукции в 1С. Формирование накладной М-15 в 1С, печать в двух экземплярах. Сдача готовой продукции на склад.";"Подписанная накладная М-15 кладовщиком и мастером ПУ, переданная на складготовая продукция. Отчет по производству за смену";Маршрутная карта Рабочий стандарт Инструкция по заполнению документов в 1С Данные по производству за смену;
1.2;Исполнение;Производство;16;16 этап;Кладовщик;"Прием готовой продукции по накладной М-15, нанесение штрихкодирования WMS";"Подписанная накладная М-15 кладовщиком и мастером ПУ, переданная на складготовая продукция. Отчет по производству за смену";Маршрутная карта Рабочий стандарт Инструкция по заполнению документов в 1С Данные по производству за смену;
1.3;"Производственный учет (аналитика, отчетность)";Производство;1;1 этап;Продажи;Формирование плана продаж;;;
1.3;"Производственный учет (аналитика, отчетность)";Производство;2;2 этап;Инженер по планированию и ПП;"Формирование плана производства, определение наличия сырья";;;
1.3;"Производственный учет (аналитика, отчетность)";Производство;3;3 этап;Директор по исследованиям и разработкам;Проверка наличия рабочих рецептур;;;
1.3;"Производственный учет (аналитика, отчетность)";Производство;4;4 этап;Логистика;"Формирование плана отгрузок ГП, поставки сырья";;;
1.3;"Производственный учет (аналитика, отчетность)";Производство;4;4 этап;Закупки;Формирование плана закупки сырья;;;
1.3;"Производственный учет (аналитика, отчетность)";Производство;5;5 этап;Гл.инженер;Актуализация плана ТО и подтверждение технической исправности оборулования;;;
1.3;"Производственный учет (аналитика, отчетность)";Производство;5;5 этап;Начальник производства;Определение оборудования для производства;;;
1.3;"Производственный учет (аналитика, отчетность)";Производство;6;6 этап;Заведующий складом;Определение мест хранения сырья и готовой продукции;;;
1.3;"Производственный учет (аналитика, отчетность)";Производство;7;7 этап;Заведующий лабораторий;Входной и промежуточный контроль сырья;;;
1.3;"Производственный учет (аналитика, отчетность)";Производство;8;8 этап;IT;Сбор и обработка первичных данных;;;
1.3;"Производственный учет (аналитика, отчетность)";Производство;9;9 этап;IT;Формирование отчетов по направлениям деятельности;;;
1.3;"Производственный учет (аналитика, отчетность)";Производство;10;10 этап;Администрация;Плановая работа предприятия;;;
1.3;"Производственный учет (аналитика, отчетность)";Производство;11;11 этап;IT;"Сбор текущих данных, обработка, формирование отчетов";;;
1.3;"Производственный учет (аналитика, отчетность)";Производство;12;12 этап;Администрация;"Анализ текущей деятельности, принятие решений по оптимизации производственных процессов, корректировка текущей производственной деятельности для достижения поставленных целей";;;
1.3;"Производственный учет (аналитика, отчетность)";Производство;13;13 этап;IT;"Формирование отчетов, заданий при необходимости внесение корректировок, наработка/накопление данных";;;
1.4;Отгрузка ГП;Производство;1;1 этап;"Отдел продаж, коммерции";Заявка на отгрузку;заявка на отгрузкук;Заява в битрикс Заявка в 1С Рассылка по почте;
1.4;Отгрузка ГП;Производство;2;2 этап;Инженер по планированию и ПП;"Присвоение отгрузочной партии, номенклатуры, раскладки (если применимо)";Уведомление в почте;Гугл диск Битрикс;
1.4;Отгрузка ГП;Производство;3;3 этап;Логист;Уточнение готовности продукта и согласование времени отгрузки у склада;;;
1.4;Отгрузка ГП;Производство;4;4 этап;Склад;"Комплектация согласно заявки на отгрузку, экетирование";;;
1.4;Отгрузка ГП;Производство;5;5 этап;ОТК;"Сертификация, контроль массы";;;
1.4;Отгрузка ГП;Производство;6;6 этап;Склад;загрузка автомобиля;;;
1.4;Отгрузка ГП;Производство;7;7 этап;Логист;перевозка;;;
1.4;Отгрузка ГП;Производство;8;8 этап;;;;;
1.4;Отгрузка ГП;Производство;9;9 этап;;;;;
1.4;Отгрузка ГП;Производство;10;10 этап;;;;;
1.4;Отгрузка ГП;Производство;11;11 этап;;;;;
1.4;Отгрузка ГП;Производство;12;12 этап;;;;;
1.4;Отгрузка ГП;Производство;13;13 этап;;;;;
1.4;Отгрузка ГП;Производство;14;14 этап;;;;;
1.4;Отгрузка ГП;Производство;15;15 этап;;;;;
1.4;Отгрузка ГП;Производство;16;16 этап;;;;;
1.5;Оптимизация технологических процессов;Производство;1;Этап 1;Производство;Статистический анализ на производственной линии. Рационализаторские предложения.;Таблица статистических данных;Регламент;
1.5;Оптимизация технологических процессов;Производство;1;Этап 1;Технология R&D;Статистический анализ на производственной линии. Рационализаторские предложения.;Таблица статистических данных;Регламент;
1.5;Оптимизация технологических процессов;Производство;1;Этап 1;СГИ;Статистический анализ на производственной линии. Рационализаторские предложения.;Таблица статистических данных;Регламент;
1.5;Оптимизация технологических процессов;Производство;2;Этап 2;Технический директор;Выявление критичных мест в процессе. Предложение по улучшению ТЗ;Техническое задание;Стандарт;
1.5;Оптимизация технологических процессов;Производство;3;Этап 3;СГИ;"Предложение организационно- технических решений, расчет стоимости.";Перечень предложений;Стандарт;
1.5;Оптимизация технологических процессов;Производство;4;Этап 4;Производство;Анализ организационно- технических решений;"Перечень предложений, после анализа";Стандарт;
1.5;Оптимизация технологических процессов;Производство;4;Этап 4;Технический директор;Анализ организационно-технических решений;"Перечень предложений, после анализа";Стандарт;
1.5;Оптимизация технологических процессов;Производство;5;Этап 5;Директор;"Согласование (Если в рамках бюджета завода то без ТИС, если нет то через ТИС)";Резолюция директора (для рассмотрения в ТИС или рамках бюджета завода);Стандарт;
1.5;Оптимизация технологических процессов;Производство;6;Этап 6;ТИС;Комиссия Принятие решения;Протокол решения комиссии;Стандарт;
1.5;Оптимизация технологических процессов;Производство;7;Этап 7;СГИ;Реализация проекта;Реализация проекта;Стандарт;
1.5;Оптимизация технологических процессов;Производство;8;Этап 8;Технический директор;Корректирующие мероприятия в НТД;Скорректированая ТК/ ТИ;СТО СМК 14-2025 ред.1;
1.6;Складское хозяйство;Производство;1;1 этап;Производство;План производства;Утвержденный план;План продаж Складские остатки Сроки поставки;
1.6;Складское хозяйство;Производство;2;2 этап;Планирование;"График поставок сырья, тары и упаковки в ИС";График поставок сформированный в 1С;План производство Справочник номенклатуры;
1.6;Складское хозяйство;Производство;3;3 этап;Снабжение;"График поступление сырья, тары и упаковки в ИС";План график поступления;Сроки поставки;
1.6;Складское хозяйство;Производство;4;4 этап;завскладом;"Плановые поступление сырья, тары, материлов";ТТН;"Приходные документы Справочник номенклатуры Сертификат скачества MSDS, SOA, TDS";
1.6;Складское хозяйство;Производство;5;5 этап;Качество;"Отбор сырья - входной контроль,";Допуск сырья;"ТУ Сертификат качества MSDS, SOA, TDS";
1.6;Складское хозяйство;Производство;6;6 этап;завскладом;"формирование штрихкода и маркировка сырья, направление заданий на ТСД";Штрихкод с наименованием;1С WMS;
1.6;Складское хозяйство;Производство;7;7 этап;кладовщик склада сырья;Размещение и хранение складе НЕИЗВЕСТНЫЙ ТОВАР согласно заданий на ТСД;адресное размещение;1С WMS;
1.6;Складское хозяйство;Производство;8;8 этап;Качество;перемещение на склад сырья согласно номенклатуры;годное сырье размещено по фифо;1С WMS;
1.6;Складское хозяйство;Производство;9;9 этап;R&D;Введение новой номенклатуры в 1С;новая номенклатура;"Сертификат скачества MSDS, SOA, TDS ОТК";
1.6;Складское хозяйство;Производство;10;10 этап;Качество;Подготовка и направление рекламации поставщику;рекламация;НТД 1С форма рекламации;
1.6;Складское хозяйство;Производство;11;11 этап;завскладом;формирование задания на перемещение на склад некондиции;Задание на перемещение;1С WMS ОТК;
1.6;Складское хозяйство;Производство;12;12 этап;кладовщик склада сырья;Размещение и хранение на складе НЕКОНДИЦИИ на ТСД;адресное размещение;1С WMS;
1.6;Складское хозяйство;Производство;13;13 этап;Качество;Автоматизированный контроль условий хранения и сроков годности в ИС;Отчет по срокам годности сырья;Температура Влажность Условия хранения;
1.6;Складское хозяйство;Производство;14;14 этап;Снабжение;возврат сырья либо другие компесирующие мероприятия;Ответ поставщика;;
1.6;Складское хозяйство;Производство;15;15 этап;R&D;Проведение испытаний и принятие решение о возможности применения сырья со склада НЕКОНДИЦИЯ;Результат испытания;"ОЛИ, ОПИ, ОПП ОТК";
1.6;Складское хозяйство;Производство;16;16 этап;Производство;Заказ на перемещение сырья;Документ Перемещение;1С;
1.6;Складское хозяйство;Производство;17;17 этап;завскладом;Формирование в WMS из задания на отбор сырья - задания кладовщику склада для формирования заявки производства;Сформированное здание;1С WMS;
1.6;Складское хозяйство;Производство;18;18 этап;кладовщик склада сырья;"сборка сырья, тары и упаковки";отобранное сырье и материалы;1С WMS;
1.6;Складское хозяйство;Производство;19;19 этап;Производство;"Производство продукции, формирование документа СБОРКА, перемещение ГП на склад";Сформированный документ Сборка;1С;
1.6;Складское хозяйство;Производство;20;20 этап;Качество;Проверка качества ГП;Отметка ОТК;Анализ ГП ГОСТ ТУ;
1.6;Складское хозяйство;Производство;21;21 этап;завскладом;Размещение ГП на складе;ГП размещен по адресам;1С WMS;
1.6;Складское хозяйство;Производство;22;22 этап;Качество;Контроль условий хранения и сроков годности;Отчет по условиям хранения;ТУ;
1.6;Складское хозяйство;Производство;23;23 этап;кладовщик склада сырья;Отгрузка ГП клиентам;Реализация товара;1С;
1.6;Складское хозяйство;Производство;24;24 этап;;;;;
1.6;Складское хозяйство;Производство;25;25 этап;;;;;
1.6;Складское хозяйство;Производство;26;26 этап;;;;;
1.6;Складское хозяйство;Производство;27;27 этап;;;;;
1.6;Складское хозяйство;Производство;28;28 этап;;;;;
1.6;Складское хозяйство;Производство;29;29 этап;;;;;
2.1;Контроль качества сырья;Качество;1;1 этап;Работник склада;Оприходывание сырья;Сформирован отчет о приемке сырья;Требуется переиздание регламента;
2.1;Контроль качества сырья;Качество;2;2 этап;Контролер;"Идентификация , проверка документов, внешний осмотр, отбор проб для ЛКК";1.Отобраны пробы 2.Выписано направление на исследование в ЛКК;1. Требуется разработка регламента 2.Требуется формирование общего перечня входного контроля сырья (ОПВК);
2.1;Контроль качества сырья;Качество;3;3 этап;Лаборант ЛКК;Выполнение исследования в ЛКК;Протокол испытаний;"Методики контроля утверждены не в полном объеме, требуется доразработка";
2.1;Контроль качества сырья;Качество;4;4 этап;Технолог;Технологическая проба;Протокол испытаний;Требуется разработка регламента;
2.1;Контроль качества сырья;Качество;5;5 этап;Инженер химик ЛКК;"Анализ результатов, завершение входного контроля, перемещение в ""1С"" на склад ""принятых""";"Проверенное сырьё перемещено на склад ""принятых""";Требуется переиздание регламента;
2.1;Контроль качества сырья;Качество;6;6 этап;Тех. Совет (комиссия по работе с несоответствиями);"Процесс работы с несоответствием, комиссионное принятие решения";Решение по несоответствию;Требуется переиздание регламента;
2.1;Контроль качества сырья;Качество;7;7 этап;Работник склада;"Хранение сырья на складе ""принятых""";Выполняется контроль сроков хранения сырья на складе;Требуется переиздание регламента;
2.1;Контроль качества сырья;Качество;7;7 этап;Инженер химик ЛКК;Учёт сроков хранения в соответствии с параметрами качества и периодичностью перепроверок;Выполняется контроль сроков хранения сырья на складе;Требуется переиздание регламента;
2.1;Контроль качества сырья;Качество;8;8 этап;Лаборант ЛКК;Выполнение периодических перепроверок;Протокол испытаний;"1. Методики контроля утверждены не в полном объеме, требуется доразработка 2. Требуется разработка регламента перепроверок";
2.1;Контроль качества сырья;Качество;9;9 этап;Работник склада;Изолирование сырья с несоответствиями;Акт о несоответствия;Требуется переиздание регламента;
2.1;Контроль качества сырья;Качество;9;9 этап;Руководитель ОКК;Анализ выявленного несоответствия;Акт о несоответствия;Требуется переиздание регламента;
2.1;Контроль качества сырья;Качество;10;10 этап;Работник склада;Рекламационная огрузка несоответствующей сырьевой продукции поставщику;Оформлена претензия или рекламеция;Требуется переиздание регламента;
2.1;Контроль качества сырья;Качество;10;10 этап;Инженер СМК (специалист по качеству);Претензионня работа;Оформлена претензия или рекламеция;Требуется переиздание регламента;
2.2;Контроль качества операционн. и ГП;Качество;1;1 этап;Работник производства;"Операции взвешивания компонентов, фассовка в партионную тару";Отметка в журнале о результатах выборочного контроля;Требуется разработка регламента;
2.2;Контроль качества операционн. и ГП;Качество;1;1 этап;Контролёр ОКК;Выборочный контроль;Отметка в журнале о результатах выборочного контроля;Требуется разработка регламента;
2.2;Контроль качества операционн. и ГП;Качество;2;2 этап;Работник производства;Выполнение операций производственного цикла в соответствии с технологией;Отметка в журнале о результатах выборочного контроля;Требуется разработка регламента;
2.2;Контроль качества операционн. и ГП;Качество;2;2 этап;Контролёр ОКК;Выборочный контроль;Отметка в журнале о результатах выборочного контроля;Требуется разработка регламента;
2.2;Контроль качества операционн. и ГП;Качество;3;3 этап;Контролёр ОКК;"Идентификация , проверка документов на выполнени точек контроля, отбор проб для ЛКК";1.Отобраны пробы 2.Выписано направление на исследование в ЛКК;Требуется переиздание регламента;
2.2;Контроль качества операционн. и ГП;Качество;4;4 этап;Лаборант ЛКК;Выполнение исследований в объеме тестов по технологии;Протокол испытаний;Требуется переиздание регламента;
2.2;Контроль качества операционн. и ГП;Качество;5;5 этап;Технолог;"Анализ результатов, технологическое сопровождение";Лист корректировки;Требуется разработка регламента;
2.2;Контроль качества операционн. и ГП;Качество;6;6 этап;Работник производства;Операция завершения цикла производства;Отметка в журнале о результатах выборочного контроля;Требуется разработка регламента;
2.2;Контроль качества операционн. и ГП;Качество;6;6 этап;Контролёр ОКК;Выборочный контроль;Отметка в журнале о результатах выборочного контроля;Требуется разработка регламента;
2.2;Контроль качества операционн. и ГП;Качество;7;7 этап;Контролёр ОКК;"Идентификация , проверка документов на выполнени точек контроля, отбор проб для ЛКК";1.Отобраны пробы 2.Выписано направление на исследование в ЛКК;Требуется переиздание регламента;
2.2;Контроль качества операционн. и ГП;Качество;8;8 этап;Лаборант ЛКК;Выполнение исследований в объеме тестов окончательного контроля;Протокол испытаний;Требуется переиздание регламента;
2.2;Контроль качества операционн. и ГП;Качество;9;9 этап;Инженер ЛКК;"Анализ результатов испытаний, формирование арбитражных проб";Сформированы арбитражные пробы;Требуется переиздание регламента;
2.2;Контроль качества операционн. и ГП;Качество;10;10 этап;Работник производства;Фассовка ГП;Отметка в журнале о результатах выборочного контроля;Требуется разработка регламента;
2.2;Контроль качества операционн. и ГП;Качество;10;10 этап;Контролёр ОКК;Выборочный контроль;Отметка в журнале о результатах выборочного контроля;Требуется разработка регламента;
2.2;Контроль качества операционн. и ГП;Качество;11;11 этап;Работник производства;Изолирование несоответствующей продкуции;Акт несоответствия;Требуется переиздание регламента;
